SCAMID,URL_ID
2752,175
2752,176
2752,62
2752,62
2752,62
2752,62
2784,177
2791,178
2799,179
2799,180
2799,180
2799,181
2799,180
2799,180
2799,180
2799,180
2799,180
2799,182
2811,81
2811,183
2828,30
2828,30
2848,184
2864,185
2864,186
2864,187
2880,188
2908,30
2913,189
2944,190
2981,191
2981,192
3000,193
3013,194
3045,195
3045,30
3050,196
3050,197
3086,198
3093,199
3093,200
3093,201
3107,202
3147,183
3147,81
3166,203
3166,204
3192,205
3196,206
3216,207
3233,208
3234,209
3316,210
3322,30
3360,211
3396,212
3396,213
3396,213
3396,214
3403,215
3403,216
3403,216
3407,94
3410,217
3411,218
3433,219
3440,220
3440,221
3440,222
3440,223
3440,224
3483,225
3493,226
3515,227
3515,228
3515,228
3515,227
3515,228
3515,228
3565,229
3570,230
3570,231
3576,230
3576,231
3599,232
3617,233
3626,232
3636,234
3647,235
3647,236
3650,237
3663,238
3679,239
3679,240
3682,115
3713,241
3714,242
3735,2
3744,243
3757,2
3790,244
3791,245
3792,246
3792,247
3822,248
3830,30
3867,249
3897,250
3937,194
3982,251
3982,183
3982,252
3994,253
3994,254
3994,254
4058,255
4102,30
4157,256
4184,257
4190,258
4190,259
4192,260
4192,261
4206,262
4206,263
4215,264
4219,265
4226,266
4280,267
4301,161
4315,268
4341,269
4347,270
4405,30
4405,30
4449,271
4449,272
4449,186
4449,273
4449,272
4480,115
4480,274
4512,30
4518,275
4539,276
4557,277
4564,275
4582,278
4583,275
4591,81
4621,279
4624,280
4629,281
4707,282
4707,283
4722,284
4722,285
4732,286
4747,287
4747,288
4747,289
4755,290
4773,291
4782,292
4782,293
4782,293
4782,294
4785,295
4785,296
4811,30
4881,297
4884,194
4929,30
4957,298
4958,299
4962,30
4966,300
4985,301
4985,302
4985,303
4985,304
5005,305
5014,306
5154,307
5154,30
5155,308
5155,309
5155,30
5155,310
5156,81
5202,30
5202,311
5202,312
5202,313
5202,312
5202,313
5215,314
5215,315
5216,316
5216,316
5254,317
5257,318
5257,319
5257,320
5257,320
5277,321
5281,322
5315,323
5404,324
5408,69
5411,325
5411,326
5437,327
5437,328
5438,324
5438,329
5453,298
5484,283
5484,283
5484,330
5489,331
5489,331
5518,332
5523,30
5543,333
5562,334
5574,334
5584,335
5584,336
5654,335
5662,30
5690,337
5698,338
5698,339
5723,81
5732,340
5784,30
5793,30
5793,30
5842,341
5858,342
5858,343
5901,344
5915,1
5915,345
5924,346
5942,347
5954,30
5965,348
5984,349
6019,115
6027,350
6027,351
6027,352
6027,353
6027,350
6027,351
6060,354
6063,354
6108,355
6125,356
6125,356
6130,357
6150,354
6177,358
6187,359
6210,360
6215,81
6215,361
6215,361
6215,161
6255,362
6273,363
6291,278
6298,364
6348,30
6375,365
6390,366
6390,367
6390,368
6433,369
6433,370
6433,371
6433,369
6435,372
6435,373
6444,374
6493,375
6498,376
6498,376
6510,369
6510,190
6510,377
6547,378
6568,35
6570,35
6607,379
6607,380
6607,381
6627,382
6654,2
6660,383
6713,384
6719,385
6731,30
6731,386
6777,387
6809,388
6809,389
6809,388
6809,388
6809,390
6825,391
6825,392
6825,393
6853,394
6862,395
6870,396
6871,397
6871,397
6871,398
6885,399
6900,400
6900,401
6900,400
6900,400
6900,30
6926,402
6950,30
6950,69
6950,183
6950,81
6953,403
6962,404
6970,405
6970,194
6996,406
7011,407
7011,407
7011,408
7017,409
7028,410
7028,411
7146,412
7150,413
7150,414
7150,415
7153,49
7170,416
7171,417
7189,418
7198,419
7236,403
7253,420
7271,421
7292,422
7301,423
7301,424
7301,425
7318,426
7318,427
7338,428
7361,429
7363,430
7372,431
7372,431
7372,431
7372,432
7372,433
7372,434
7387,298
7387,435
7402,436
7409,437
7409,438
7413,81
7414,439
7432,440
7485,127
7485,441
7500,298
7522,442
7523,443
7545,442
7574,183
7574,81
7585,444
7585,445
7585,446
7585,447
7585,448
7585,449
7649,450
7649,451
7652,183
7652,81
7652,452
7653,450
7654,453
7654,454
7656,414
7660,30
7662,455
7664,456
7665,457
7697,458
7727,459
7746,460
7746,461
7759,462
7763,30
7763,463
7819,464
7836,465
7847,466
7852,467
7852,467
7853,468
7853,177
7853,177
7853,177
7853,177
7853,468
7855,469
7855,470
7855,471
7855,472
7873,473
7876,474
7876,475
7887,476
7904,477
7904,478
7910,479
7910,480
7910,481
7910,482
7910,483
7910,484
7910,485
7910,486
7916,49
7916,183
7916,487
7916,488
7946,489
7946,457
7946,490
7948,489
7975,285
7990,183
7990,491
8002,492
8002,493
8021,183
8063,494
8063,494
8069,494
8069,494
8118,495
8118,496
8129,497
8172,30
8189,498
8195,499
8203,500
8232,30
8314,501
8329,502
8329,177
8354,503
8367,49
8375,83
8375,504
8375,505
8375,83
8452,506
8452,506
8452,507
8452,506
8452,506
8481,508
8504,509
8595,81
8608,510
8611,183
8613,30
8613,421
8613,30
8650,511
8651,375
8654,512
8654,512
8662,513
8669,514
8673,494
8673,494
8674,515
8675,510
8675,516
8681,517
8693,516
8694,518
8695,498
8730,498
8730,500
8735,183
8735,519
8754,520
8769,521
8769,522
8790,523
8800,524
8800,525
8800,526
8800,525
8801,251
8801,183
8801,519
8804,527
8832,500
8847,298
8881,520
8886,528
8894,504
8908,529
8910,498
8910,498
8916,298
8925,530
8932,531
8951,30
8954,532
8966,533
8980,520
9000,500
9001,534
9001,498
9001,535
9009,510
9034,81
9034,536
9036,537
9036,538
9036,539
9036,540
9036,541
9036,542
9036,543
9046,544
9046,545
9046,546
9050,534
9065,544
9065,545
9065,546
9069,534
9086,547
9095,548
9095,549
9102,550
9110,551
9114,498
9114,498
9120,500
9120,500
9128,498
9130,500
9135,520
9161,500
9167,81
9167,552
9167,553
9167,81
9167,554
9167,554
9178,555
9178,555
9178,556
9178,556
9179,500
9194,115
9195,384
9202,498
9212,498
9215,1
9215,2
9215,557
9261,558
9261,559
9261,560
9261,558
9261,559
9261,561
9261,558
9261,559
9287,500
9292,520
9324,520
9360,562
9360,563
9360,564
9360,565
9360,566
9375,567
9415,568
9435,569
9477,127
9477,127
9506,570
9527,571
9549,572
9562,573
9567,573
9585,81
9647,574
9673,194
9678,575
9695,521
9695,115
9700,576
9714,577
9744,578
9751,579
9777,580
9786,581
9810,559
9821,582
9821,583
9856,584
9885,585
9885,586
9885,587
9902,300
9913,588
9959,589
9964,590
10036,591
10036,592
10036,593
10047,594
10060,595
10060,596
10066,595
10066,596
10086,597
10128,598
10128,599
10128,600
10132,601
10132,602
10137,30
10151,603
10219,604
10238,605
10264,606
10264,607
10264,608
10279,609
10281,610
10303,611
10342,599
10342,612
10344,613
10344,614
10354,35
10354,30
10354,30
10354,30
10381,615
10381,616
10381,616
10406,617
10411,126
10432,183
10432,81
10441,618
10472,619
10515,620
10543,621
10572,81
10601,127
10626,622
10666,623
10676,624
10710,625
10710,626
10710,627
10755,628
10757,629
10762,630
10762,631
10762,632
10764,633
10803,307
10812,634
10812,635
10812,636
10812,637
10822,638
10834,639
10834,640
10860,641
10888,75
10891,642
10891,642
10895,35
10914,643
10927,644
10927,645
10940,521
10940,521
10940,219
10940,115
10978,646
11000,647
11014,648
11014,649
11042,183
11042,81
11049,650
11056,651
11069,652
11089,653
11154,81
11166,654
11166,654
11166,655
11181,656
11183,521
11184,81
11199,657
11199,658
11199,659
11199,660
11199,658
11199,658
11199,182
11199,161
11199,661
11199,410
11199,658
11199,658
11199,658
11215,662
11215,663
11225,81
11279,664
11289,665
11289,666
11298,667
11298,115
11298,668
11298,669
11330,670
11331,671
11331,672
11352,673
11352,673
11357,649
11365,674
11390,183
11390,81
11390,675
11390,675
11390,676
11390,676
11395,677
11395,644
11395,645
11426,678
11426,168
11431,679
11431,680
11431,679
11431,681
11431,682
11461,683
11488,684
11488,685
11488,686
11504,687
11514,688
11514,688
11514,688
11518,30
11518,126
11526,81
11530,649
11534,688
11535,689
11535,690
11579,691
11579,692
11650,693
11682,694
11693,521
11693,695
11700,696
11700,697
11705,698
11799,649
11803,30
11805,699
11805,700
11849,701
11887,702
11906,703
11906,704
11906,705
11907,684
11917,706
11917,707
11941,708
11941,708
11942,401
12015,709
12021,710
12042,711
12042,712
12056,713
12056,713
12067,713
12067,713
12122,708
12125,714
12134,194
12137,715
12143,716
12149,717
12149,718
12149,719
12178,720
12183,721
12201,722
12201,723
12230,724
12251,725
12252,726
12252,126
12252,726
12263,727
12263,728
12263,729
12263,730
12263,731
12263,730
12263,732
12300,733
12300,734
12300,733
12300,735
12300,736
12300,737
12300,738
12300,733
12300,739
12300,740
12300,733
