ID,DATE
592,2019-08-17
593,2019-08-16
594,2019-08-15
595,2019-08-14
596,2019-08-13
597,2019-08-12
598,2019-08-11
599,2019-08-10
600,2019-08-09
601,2019-08-08
602,2019-08-07
603,2019-08-06
604,2019-08-05
605,2019-08-04
606,2019-08-03
607,2019-08-02
608,2019-08-01
609,2019-07-31
610,2019-07-30
611,2019-07-29
612,2019-07-28
613,2019-07-27
614,2019-07-26
615,2019-07-25
616,2019-07-24
617,2019-07-23
618,2019-07-22
619,2019-07-21
620,2019-07-20
621,2019-07-19
622,2019-07-18
623,2019-07-17
624,2019-07-16
625,2019-07-15
626,2019-07-13
627,2019-07-12
628,2019-07-11
629,2019-07-10
630,2019-07-09
631,2019-07-08
632,2019-07-07
633,2019-07-06
634,2019-07-05
635,2019-07-04
636,2019-07-03
637,2019-07-02
638,2019-07-01
639,2019-06-30
640,2019-06-29
641,2019-06-28
642,2019-06-27
643,2019-06-26
644,2019-06-25
645,2019-06-24
646,2019-06-23
647,2019-06-22
648,2019-06-21
649,2019-06-20
650,2019-06-19
651,2019-06-18
652,2019-06-17
653,2019-06-16
654,2019-06-15
655,2019-06-14
656,2019-06-13
657,2019-06-12
658,2019-06-11
659,2019-06-10
660,2019-06-09
661,2019-06-08
662,2019-06-07
663,2019-06-06
664,2019-06-05
665,2019-06-04
666,2019-06-03
667,2019-06-02
668,2019-06-01
669,2019-05-31
670,2019-05-30
671,2019-05-29
672,2019-05-28
673,2019-05-27
674,2019-05-26
675,2019-05-25
676,2019-05-24
677,2019-05-23
678,2019-05-22
679,2019-05-21
680,2019-05-20
681,2019-05-19
682,2019-05-18
683,2019-05-17
684,2019-05-16
685,2019-05-15
686,2019-05-14
687,2019-05-13
688,2019-05-12
689,2019-05-11
690,2019-05-10
691,2019-05-09
692,2019-05-08
693,2019-05-07
694,2019-05-06
695,2019-05-05
696,2019-05-04
697,2019-05-03
698,2019-05-02
699,2019-05-01
700,2019-04-30
701,2019-04-29
702,2019-04-28
703,2019-04-27
704,2019-04-26
705,2019-04-25
706,2019-04-24
707,2019-04-23
708,2019-04-22
709,2019-04-20
710,2019-04-19
711,2019-04-18
712,2019-04-17
713,2019-04-16
714,2019-04-15
715,2019-04-14
716,2019-04-13
717,2019-04-12
718,2019-04-11
719,2019-04-10
720,2019-04-09
721,2019-04-08
722,2019-04-07
723,2019-04-06
724,2019-04-05
725,2019-04-04
726,2019-04-03
727,2019-04-02
728,2019-04-01
729,2019-03-31
730,2019-03-30
731,2019-03-29
732,2019-03-28
733,2019-03-27
734,2019-03-26
735,2019-03-25
736,2019-03-24
737,2019-03-23
738,2019-03-22
739,2019-03-21
740,2019-03-20
741,2019-03-19
742,2019-03-18
743,2019-03-17
744,2019-03-16
745,2019-03-15
746,2019-03-14
747,2019-03-13
748,2019-03-12
749,2019-03-11
750,2019-03-10
751,2019-03-09
752,2019-03-08
753,2019-03-07
754,2019-03-06
755,2019-03-05
756,2019-03-04
757,2019-03-03
758,2019-03-02
759,2019-03-01
760,2019-02-28
761,2019-02-27
762,2019-02-26
763,2019-02-25
764,2019-02-24
765,2019-02-23
766,2019-02-22
767,2019-02-21
768,2019-02-20
769,2019-02-19
770,2019-02-18
771,2019-02-17
772,2019-02-16
773,2019-02-15
774,2019-02-14
775,2019-02-13
776,2019-02-12
777,2019-02-11
778,2019-02-10
779,2019-02-09
780,2019-02-08
781,2019-02-07
782,2019-02-06
783,2019-02-05
784,2019-02-04
785,2019-02-03
786,2019-02-02
787,2019-02-01
788,2019-01-31
789,2019-01-30
790,2019-01-29
791,2019-01-28
792,2019-01-27
793,2019-01-26
794,2019-01-25
795,2019-01-24
796,2019-01-23
797,2019-01-22
798,2019-01-21
799,2019-01-20
800,2019-01-19
801,2019-01-18
802,2019-01-17
803,2019-01-16
804,2019-01-15
805,2019-01-14
806,2019-01-13
807,2019-01-12
808,2019-01-11
809,2019-01-10
810,2019-01-09
811,2019-01-08
812,2019-01-07
813,2019-01-06
814,2019-01-05
815,2019-01-04
816,2019-01-03
817,2019-01-02
818,2019-01-01
819,2018-12-31
820,2018-12-29
821,2018-12-28
822,2018-12-27
823,2018-12-26
824,2018-12-25
825,2018-12-24
826,2018-12-23
827,2018-12-22
828,2018-12-21
829,2018-12-20
830,2018-12-19
831,2018-12-18
832,2018-12-17
833,2018-12-16
834,2018-12-15
835,2018-12-14
836,2018-12-13
837,2018-12-12
838,2018-12-11
839,2018-12-10
840,2018-12-09
841,2018-12-08
842,2018-12-07
843,2018-12-06
844,2018-12-05
845,2018-12-04
846,2018-12-03
847,2018-12-02
848,2018-12-01
849,2018-11-30
850,2018-11-29
851,2018-11-28
852,2018-11-27
853,2018-11-26
854,2018-11-25
855,2018-11-24
856,2018-11-23
857,2018-11-22
858,2018-11-21
859,2018-11-20
860,2018-11-19
861,2018-11-18
862,2018-11-17
863,2018-11-16
864,2018-11-15
865,2018-11-14
866,2018-11-13
867,2018-11-12
868,2018-11-11
869,2018-11-10
870,2018-11-09
871,2018-11-08
872,2018-11-07
873,2018-11-06
874,2018-11-05
875,2018-11-04
876,2018-11-03
877,2018-11-02
878,2018-11-01
879,2018-10-31
880,2018-10-30
881,2018-10-29
882,2018-10-28
883,2018-10-27
884,2018-10-26
885,2018-10-25
886,2018-10-24
887,2018-10-23
888,2018-10-22
889,2018-10-21
890,2018-10-20
891,2018-10-19
892,2018-10-18
893,2018-10-17
894,2018-10-16
895,2018-10-15
896,2018-10-14
897,2018-10-13
898,2018-10-12
899,2018-10-11
900,2018-10-10
901,2018-10-09
902,2018-10-08
903,2018-10-07
904,2018-10-06
905,2018-10-05
906,2018-10-04
907,2018-10-03
908,2018-10-02
909,2018-10-01
910,2018-09-30
911,2018-09-29
912,2018-09-28
913,2018-09-27
914,2018-09-26
915,2018-09-25
916,2018-09-24
917,2018-09-23
918,2018-09-22
919,2018-09-21
920,2018-09-20
921,2018-09-19
922,2018-09-18
923,2018-09-17
924,2018-09-16
925,2018-09-15
926,2018-09-14
927,2018-09-13
928,2018-09-12
929,2018-09-11
930,2018-09-10
931,2018-09-09
932,2018-09-08
933,2018-09-07
934,2018-09-06
935,2018-09-05
936,2018-09-04
937,2018-09-03
938,2018-09-02
939,2018-09-01
940,2018-08-31
941,2018-08-30
942,2018-08-29
943,2018-08-28
944,2018-08-27
945,2018-08-26
946,2018-08-25
947,2018-08-24
948,2018-08-23
949,2018-08-22
950,2018-08-21
951,2018-08-20
952,2018-08-19
953,2018-08-18
954,2018-08-17
955,2018-08-16
956,2018-08-15
957,2018-08-14
958,2018-08-13
959,2018-08-12
960,2018-08-11
961,2018-08-10
962,2018-08-09
963,2018-08-08
964,2018-08-07
965,2018-08-06
966,2018-08-05
967,2018-08-04
968,2018-08-03
969,2018-08-02
970,2018-08-01
971,2018-07-31
972,2018-07-30
973,2018-07-29
974,2018-07-28
975,2018-07-27
976,2018-07-26
977,2018-07-25
978,2018-07-24
979,2018-07-23
980,2018-07-22
981,2018-07-21
982,2018-07-20
983,2018-07-19
984,2018-07-18
985,2018-07-17
986,2018-07-16
987,2018-07-15
988,2018-07-14
989,2018-07-13
990,2018-07-12
991,2018-07-11
992,2018-07-10
993,2018-07-09
994,2018-07-08
995,2018-07-07
996,2018-07-06
997,2018-07-05
998,2018-07-04
999,2018-07-03
1000,2018-07-02
1001,2018-07-01
1002,2018-06-30
1003,2018-06-29
1004,2018-06-28
1005,2018-06-27
1006,2018-06-26
1007,2018-06-25
1008,2018-06-24
1009,2018-06-23
1010,2018-06-22
1011,2018-06-21
1012,2018-06-20
1013,2018-06-19
1014,2018-06-18
1015,2018-06-17
1016,2018-06-16
1017,2018-06-15
1018,2018-06-14
1019,2018-06-13
1020,2018-06-12
1021,2018-06-11
1022,2018-06-10
1023,2018-06-09
1024,2018-06-08
1025,2018-06-07
1026,2018-06-06
1027,2018-06-05
1028,2018-06-04
1029,2018-06-03
1030,2018-06-02
1031,2018-06-01
1032,2018-05-31
1033,2018-05-30
1034,2018-05-29
1035,2018-05-28
1036,2018-05-27
1037,2018-05-26
1038,2018-05-25
1039,2018-05-24
1040,2018-05-23
1041,2018-05-22
1042,2018-05-21
1043,2018-05-20
1044,2018-05-19
1045,2018-05-18
1046,2018-05-17
1047,2018-05-16
1048,2018-05-15
1049,2018-05-14
1050,2018-05-13
1051,2018-05-12
1052,2018-05-11
1053,2018-05-10
1054,2018-05-09
1055,2018-05-08
1056,2018-05-07
1057,2018-05-06
1058,2018-05-05
1059,2018-05-04
1060,2018-05-03
1061,2018-05-02
1062,2018-05-01
1063,2018-04-30
1064,2018-04-29
1065,2018-04-28
1066,2018-04-27
1067,2018-04-26
1068,2018-04-25
1069,2018-04-24
1070,2018-04-23
1071,2018-04-22
1072,2018-04-21
1073,2018-04-20
1074,2018-04-19
1075,2018-04-18
1076,2018-04-17
1077,2018-04-16
1078,2018-04-14
1079,2018-04-13
1080,2018-04-12
1081,2018-04-11
1082,2018-04-10
1083,2018-04-09
1084,2018-04-08
1085,2018-04-07
1086,2018-04-06
1087,2018-04-05
1088,2018-04-04
1089,2018-04-03
1090,2018-04-02
1091,2018-04-01
1092,2018-03-31
1093,2018-03-30
1094,2018-03-29
1095,2018-03-28
1096,2018-03-27
1097,2018-03-26
1098,2018-03-25
1099,2018-03-24
1100,2018-03-23
1101,2018-03-22
1102,2018-03-21
1103,2018-03-20
1104,2018-03-19
1105,2018-03-18
1106,2018-03-17
1107,2018-03-16
1108,2018-03-15
1109,2018-03-14
1110,2018-03-13
1111,2018-03-12
1112,2018-03-11
1113,2018-03-10
1114,2018-03-09
1115,2018-03-08
1116,2018-03-07
1117,2018-03-06
1118,2018-03-05
1119,2018-03-04
1120,2018-03-03
1121,2018-03-02
1122,2018-03-01
1123,2018-02-28
1124,2018-02-27
1125,2018-02-26
1126,2018-02-25
1127,2018-02-24
1128,2018-02-23
1129,2018-02-22
1130,2018-02-21
1131,2018-02-20
1132,2018-02-19
1133,2018-02-18
1134,2018-02-17
1135,2018-02-16
1136,2018-02-15
1137,2018-02-14
1138,2018-02-13
1139,2018-02-12
1140,2018-02-11
1141,2018-02-10
1142,2018-02-09
1143,2018-02-08
1144,2018-02-07
1145,2018-02-06
1146,2018-02-05
1147,2018-02-04
1148,2018-02-03
1149,2018-02-02
1150,2018-02-01
1151,2018-01-31
1152,2018-01-30
1153,2018-01-29
1154,2018-01-28
1155,2018-01-27
1156,2018-01-26
1157,2018-01-25
1158,2018-01-24
1159,2018-01-23
1160,2018-01-22
1161,2018-01-21
1162,2018-01-20
1163,2018-01-19
1164,2018-01-18
1165,2018-01-17
1166,2018-01-16
1167,2018-01-15
1168,2018-01-14
1169,2018-01-13
1170,2018-01-12
1171,2018-01-11
1172,2018-01-10
1173,2018-01-09
1174,2018-01-08
1175,2018-01-07
1176,2018-01-06
1177,2018-01-05
1178,2018-01-04
1179,2018-01-03
1180,2018-01-02
1181,2018-01-01
1182,2017-12-31
1183,2017-12-30
1184,2017-12-29
1185,2017-12-28
1186,2017-12-27
1187,2017-12-26
1188,2017-12-24
1189,2017-12-23
1190,2017-12-22
1191,2017-12-21
1192,2017-12-20
1193,2017-12-19
1194,2017-12-18
1195,2017-12-17
1196,2017-12-16
1197,2017-12-15
1198,2017-12-14
1199,2017-12-13
1200,2017-12-12
1201,2017-12-11
1202,2017-12-10
1203,2017-12-09
1204,2017-12-08
1205,2017-12-07
1206,2017-12-06
1207,2017-12-05
1208,2017-12-04
1209,2017-12-03
1210,2017-12-02
1211,2017-12-01
1212,2017-11-30
1213,2017-11-29
1214,2017-11-28
1215,2017-11-27
1216,2017-11-26
1217,2017-11-25
1218,2017-11-24
1219,2017-11-23
1220,2017-11-22
1221,2017-11-21
1222,2017-11-20
1223,2017-11-19
1224,2017-11-18
1225,2017-11-17
1226,2017-11-16
1227,2017-11-15
1228,2017-11-14
1229,2017-11-13
1230,2017-11-12
1231,2017-11-11
1232,2017-11-10
1233,2017-11-09
1234,2017-11-08
1235,2017-11-07
1236,2017-11-06
1237,2017-11-05
1238,2017-11-04
1239,2017-11-03
1240,2017-11-02
1241,2017-11-01
1242,2017-10-31
1243,2017-10-30
1244,2017-10-29
1245,2017-10-28
1246,2017-10-27
1247,2017-10-26
1248,2017-10-25
1249,2017-10-24
1250,2017-10-23
1251,2017-10-22
1252,2017-10-20
1253,2017-10-19
1254,2017-10-18
1255,2017-10-17
1256,2017-10-16
1257,2017-10-15
1258,2017-10-14
1259,2017-10-13
1260,2017-10-12
1261,2017-10-11
1262,2017-10-10
1263,2017-10-09
1264,2017-10-08
1265,2017-10-06
1266,2017-10-05
1267,2017-10-04
1268,2017-10-03
1269,2017-10-02
1270,2017-10-01
1271,2017-09-30
1272,2017-09-29
1273,2017-09-28
1274,2017-09-27
1275,2017-09-26
1276,2017-09-25
1277,2017-09-23
1278,2017-09-22
1279,2017-09-21
1280,2017-09-20
1281,2017-09-19
1282,2017-09-18
1283,2017-09-17
1284,2017-09-16
1285,2017-09-15
1286,2017-09-14
1287,2017-09-13
1288,2017-09-12
1289,2017-09-11
1290,2017-09-10
1291,2017-09-09
1292,2017-09-08
1293,2017-09-07
1294,2017-09-06
1295,2017-09-05
1296,2017-09-04
1297,2017-09-03
1298,2017-09-02
1299,2017-09-01
1300,2017-08-31
1301,2017-08-30
1302,2017-08-29
1303,2017-08-28
1304,2017-08-27
1305,2017-08-26
1306,2017-08-25
1307,2017-08-24
1308,2017-08-23
1309,2017-08-22
1310,2017-08-21
1311,2017-08-20
1312,2017-08-19
1313,2017-08-18
1314,2017-08-17
1315,2017-08-16
1316,2017-08-15
1317,2017-08-14
1318,2017-08-13
1319,2017-08-12
1320,2017-08-11
1321,2017-08-10
1322,2017-08-09
1323,2017-08-08
1324,2017-08-07
1325,2017-08-06
1326,2017-08-05
1327,2017-08-04
1328,2017-08-03
1329,2017-08-02
1330,2017-08-01
1331,2017-07-31
1332,2017-07-30
1333,2017-07-29
1334,2017-07-28
1335,2017-07-27
1336,2017-07-26
1337,2017-07-25
1338,2017-07-24
1339,2017-07-22
1340,2017-07-21
1341,2017-07-20
1342,2017-07-19
1343,2017-07-18
1344,2017-07-17
1345,2017-07-16
1346,2017-07-15
1347,2017-07-14
1348,2017-07-13
1349,2017-07-12
1350,2017-07-11
1351,2017-07-10
1352,2017-07-07
1353,2017-07-06
1354,2017-07-05
1355,2017-07-04
1356,2017-07-03
1357,2017-07-02
1358,2017-07-01
1359,2017-06-30
1360,2017-06-29
1361,2017-06-28
1362,2017-06-27
1363,2017-06-26
1364,2017-06-24
1365,2017-06-23
1366,2017-06-22
1367,2017-06-21
1368,2017-06-20
1369,2017-06-19
1370,2017-06-18
1371,2017-06-17
1372,2017-06-16
1373,2017-06-15
1374,2017-06-14
1375,2017-06-13
1376,2017-06-12
1377,2017-06-11
1378,2017-06-10
1379,2017-06-09
1380,2017-06-08
1381,2017-06-07
1382,2017-06-06
1383,2017-06-05
1384,2017-06-04
1385,2017-06-03
1386,2017-06-02
1387,2017-06-01
1388,2017-05-31
1389,2017-05-30
1390,2017-05-29
1391,2017-05-27
1392,2017-05-26
1393,2017-05-25
1394,2017-05-24
1395,2017-05-23
1396,2017-05-22
1397,2017-05-21
1398,2017-05-19
1399,2017-05-18
1400,2017-05-17
1401,2017-05-16
1402,2017-05-15
1403,2017-05-14
1404,2017-05-13
1405,2017-05-12
1406,2017-05-11
1407,2017-05-10
1408,2017-05-09
1409,2017-05-08
1410,2017-05-07
1411,2017-05-04
1412,2017-05-03
1413,2017-05-02
1414,2017-05-01
1415,2017-04-29
1416,2017-04-28
1417,2017-04-27
1418,2017-04-26
1419,2017-04-25
1420,2017-04-24
1421,2017-04-23
1422,2017-04-22
1423,2017-04-21
1424,2017-04-20
1425,2017-04-19
1426,2017-04-18
1427,2017-04-17
1428,2017-04-16
1429,2017-04-15
1430,2017-04-14
1431,2017-04-13
1432,2017-04-12
1433,2017-04-11
1434,2017-04-10
1435,2017-04-09
1436,2017-04-08
1437,2017-04-07
1438,2017-04-06
1439,2017-04-05
1440,2017-04-04
1441,2017-04-03
1442,2017-04-02
1443,2017-03-31
1444,2017-03-30
1445,2017-03-29
1446,2017-03-28
1447,2017-03-27
1448,2017-03-26
1449,2017-03-25
1450,2017-03-24
1451,2017-03-23
1452,2017-03-22
1453,2017-03-21
1454,2017-03-20
1455,2017-03-18
1456,2017-03-17
1457,2017-03-16
1458,2017-03-15
1459,2017-03-14
1460,2017-03-13
1461,2017-03-12
1462,2017-03-11
1463,2017-03-10
1464,2017-03-09
1465,2017-03-08
1466,2017-03-07
1467,2017-03-06
1468,2017-03-04
1469,2017-03-03
1470,2017-03-02
1471,2017-03-01
1472,2017-02-28
1473,2017-02-27
1474,2017-02-26
1475,2017-02-25
1476,2017-02-24
1477,2017-02-23
1478,2017-02-22
1479,2017-02-21
1480,2017-02-20
1481,2017-02-19
1482,2017-02-18
1483,2017-02-17
1484,2017-02-16
1485,2017-02-15
1486,2017-02-14
1487,2017-02-13
1488,2017-02-12
1489,2017-02-11
1490,2017-02-10
1491,2017-02-09
1492,2017-02-08
1493,2017-02-07
1494,2017-02-06
1495,2017-02-05
1496,2017-02-04
