,scammer,total,closed
251,https://voxya.com/company/www.udupipowerproject.com-complaints/1200389,3,2
252,https://voxya.com/company/mmrda-scomi-utpl-complaints/1200301,1,0
253,https://voxya.com/company/i-way-solution-complaints/1200327,1,0
254,https://voxya.com/company/measure-india-corporation-private-limited-complaints/756282,1,0
255,https://voxya.com/company/udupipowerproject.com-complaints/1200230,1,0
256,https://voxya.com/company/shovia-services-complaints/21356,2,0
257,https://voxya.com/company/mother-dairy-complaints/4291,2,1
258,https://voxya.com/company/job4india-complaints/15481,7,3
259,https://voxya.com/company/navya-jobs-complaints/21284,1,0
260,https://voxya.com/company/ezone-enterprise-complaints/19450,1,0
261,https://voxya.com/company/nbj-infotech-complaints/13884,5,2
262,https://voxya.com/company/stm-address-324-galaxy-emperia-warud-road-aurangabad-maharashtra-complaints/21163,1,0
263,https://voxya.com/company/rp-estates-uppal-complaints/21104,1,0
264,https://voxya.com/company/ads-macro-complaints/21009,9,6
265,https://voxya.com/company/kansaz-immigration-complaints/20990,1,0
266,https://voxya.com/company/wrkpays-complaints/20381,4,0
267,https://voxya.com/company/naukri.com-complaints/5950,69,20
268,https://voxya.com/company/hire-in-global-complaints/6773,3,0
269,https://voxya.com/company/computer-complex-pvt-ltd-complaints/20807,1,0
270,https://voxya.com/company/coal-india-complaints/16413,2,0
271,https://voxya.com/company/professional-scouts-complaints/20608,3,0
272,https://voxya.com/company/tag-assessors-guild-private-limited-complaints/20561,1,0
273,https://voxya.com/company/confirm-immigration-complaints/20169,1,0
274,https://voxya.com/company/flex-enterprise-complaints/19445,4,2
275,https://voxya.com/company/cvcareers.in-complaints/20060,2,0
276,https://voxya.com/company/naukriplace.com-complaints/15786,8,2
277,https://voxya.com/company/naukrigo.com-complaints/19771,2,0
278,https://voxya.com/company/straight-hire-mart-complaints/19574,2,0
279,https://voxya.com/company/indekka-complaints/19685,1,0
280,https://voxya.com/company/awign-internship-complaints/10182,18,9
281,https://voxya.com/company/iway-solution-complaints/19505,1,0
282,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
283,https://voxya.com/company/careersfly-complaints/19639,2,0
284,https://voxya.com/company/astech-technology-complaints/18851,1,0
285,https://voxya.com/company/yash-solutions-private-limited-complaints/19316,4,1
286,https://voxya.com/company/typejobs-complaints/19359,2,1
287,https://voxya.com/company/yash-solutions-private-limited-complaints/19316,4,1
288,https://voxya.com/company/martdreams-online-services-private-limitted-complaints/9837,7,4
289,https://voxya.com/company/ic-globe-tech-solutions-pvt.-ltd.-complaints/19231,1,0
290,https://voxya.com/company/qexclusive-online-shop-pvt-ltd-complaints/19504,1,0
291,https://voxya.com/company/jyotsna-hr-management-pvt-ltd-complaints/11219,3,1
292,https://voxya.com/company/rapid-investigation-services-complaints/19039,2,0
293,https://voxya.com/company/cvcareer.in-complaints/19386,2,0
294,https://voxya.com/company/rapid-investigation-services-complaints/19039,2,0
295,https://voxya.com/company/ravindra-bharati-school-complaints/18988,1,0
296,https://voxya.com/company/team-recruitment-complaints/19333,1,0
297,https://voxya.com/company/sky-home-teleshopping-complaints/18927,1,0
298,https://voxya.com/company/silver-tea-trading-complaints/18919,1,0
299,https://voxya.com/company/naukri.com-complaints/5950,69,20
300,https://voxya.com/company/employement.co.in-complaints/18858,1,0
301,https://voxya.com/company/jobs4india-complaints/17517,1,0
302,https://voxya.com/company/akshayah-matriculation-higher-secondary-school-complaints/19165,1,0
303,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
304,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
